N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,금호석유,"167,000","5,000",-2.91%,"5,000","50,881","30,468",29.23,"303,787",14.29,11.84,
60,두산중공업,"13,550",350,-2.52%,"5,000","50,763","374,637",10.82,"3,145,003",-2.92,-14.73,
61,한국타이어앤테크놀로지,"40,050",500,-1.23%,500,"49,612","123,875",40.14,"523,428",19.27,6.03,
62,이마트,"174,500","3,500",-1.97%,"5,000","48,643","27,876",31.73,"322,268",8.71,2.76,
63,녹십자,"415,500","8,000",+1.96%,"5,000","48,558","11,687",20.58,"636,279",111.45,-0.35,
64,HMM,"14,800",400,-2.63%,"5,000","48,355","326,726",7.38,"3,643,336",-47.74,-55.46,
65,한국금융지주,"86,400","1,400",-1.59%,"5,000","48,147","55,726",30.42,"541,994",7.91,18.14,
66,오리온,"121,500","2,000",-1.62%,500,"48,036","39,536",41.91,"126,974",17.55,14.24,
67,현대건설,"42,800","1,950",-4.36%,"5,000","47,660","111,356",19.05,"1,861,440",20.87,6.30,
68,한진칼,"66,400","1,100",-1.63%,"2,500","43,998","66,263",15.33,"152,005",-10.95,-17.56,
69,LG이노텍,"185,000","4,000",-2.12%,"5,000","43,784","23,667",32.19,"213,840",33.54,4.73,
70,삼성중공업,"6,940",190,-2.66%,"5,000","43,722","630,000",15.61,"7,852,969",-3.50,-21.88,
71,현대중공업지주,"273,500","5,500",-1.97%,"5,000","43,209","15,799",17.71,"72,950",-16.57,2.20,
72,한미약품,"360,500","14,500",-3.87%,"2,500","42,694","11,843",13.65,"69,073","-3,500.00",7.30,
73,SK케미칼,"349,500","6,500",-1.83%,"5,000","41,036","11,741",17.63,"194,901",15.95,1.51,
74,SKC,"104,000","1,000",-0.95%,"5,000","39,383","37,868",7.93,"349,229",46.16,3.86,
75,맥쿼리인프라,"10,450",50,+0.48%,0,"38,894","372,192",13.88,"998,817",N/A,N/A,
76,현대차2우B,"106,500","2,000",-1.84%,"5,000","38,857","36,485",61.09,"375,349",25.45,N/A,
77,CJ대한통운,"169,000","2,000",-1.17%,"5,000","38,553","22,812",21.27,"145,958",30.47,1.41,
78,롯데지주,"36,400","1,150",-3.06%,200,"38,187","104,909",11.31,"405,599",-5.33,-5.21,
